순번,정류장명,위도,경도, 
1,윤정사앞,36.75920990 ,127.06419780 , 
2,북수1리 창터,36.76435280 ,127.06914350 , 
3,북수1리 입구,36.76617580 ,127.07093720 , 
4,회룡2리,36.75268304 ,127.07401068 , 
5,회룡1리 마을회관,36.75043860 ,127.07291020 , 
6,세출리,36.74356360 ,127.07306150 , 
11,석당리아랫마을,36.74556303 ,126.92181235 , 
12,석당리아랫마을,36.74552870 ,126.92169410 , 
13,삽교호종점,36.88821950 ,126.82495560 , 
15,신덕2리앞뜸,36.76342420 ,126.84492100 , 
17,뒤뜸,36.76511580 ,126.84189260 , 
18,건너하평,36.76698472 ,126.84161902 , 
20,신덕1리,36.77212880 ,126.84102030 , 
21,장곳리,36.76378920 ,126.84819510 , 
23,신덕2리,36.76365050 ,126.84182110 , 
25,신덕1리사거리,36.76829138 ,126.84107568 , 
29,건널목삼거리,36.76466303 ,126.86575238 , 
30,대정리,36.76398010 ,126.85094970 , 
32,신언4리,36.76754850 ,126.86573790 , 
34,신언2리,36.76085810 ,126.86781530 , 
35,도고아파트,36.75709473 ,126.87039569 , 
36,금산리 남성,36.74759302 ,126.87070233 , 
39,금산리,36.74641473 ,126.86583402 , 
40,금산1리 음지말,36.74745474 ,126.87108399 , 
41,도고아파트,36.75705303 ,126.87054733 , 
43,신언리삼거리,36.75675306 ,126.86850068 , 
48,봉농리 봉암,36.74689805 ,126.86395566 , 
51,군덕교,36.77180630 ,126.86458230 , 
54,신성1리,36.76767969 ,126.88343401 , 
56,신성2리,36.77215090 ,126.89347830 , 
57,신성1리신라리,36.77063160 ,126.88901720 , 
58,도고면사무소,36.75684805 ,126.87739071 , 
59,도고면사무소,36.75700305 ,126.87809566 , 
60,금산2리 점촌,36.75214570 ,126.88349870 , 
61,도고온천역,36.74934150 ,126.88791570 , 
62,시전1리 동막골,36.74779910 ,126.89266190 , 
63,시전1리 동막골,36.74790100 ,126.89268230 , 
64,도고온천역,36.74898806 ,126.88973570 , 
65,금산2리 점촌,36.75213740 ,126.88364440 , 
67,금산3리 해비타트,36.74821139 ,126.87785235 , 
68,금산2리 쇠골,36.74811640 ,126.87877404 , 
72,글로리콘도입구,36.76366307 ,126.89087235 , 
74,도고로얄호텔,36.76365310 ,126.88825800 , 
75,한국콘도,36.76415590 ,126.88576660 , 
77,KT도고수련관,36.76128580 ,126.88334710 , 
79,도고중학교,36.74430470 ,126.90133130 , 
80,신유리 버들목,36.92559320 ,127.11228970 , 
85,화천초등학교,36.72145637 ,126.92127238 , 
87,화천2리 양천,36.71327780 ,126.91986780 , 
89,농은리,36.70892240 ,126.92146810 , 
90,화천2리 양천,36.71338638 ,126.92000068 , 
91,화천2리회관,36.71866636 ,126.92105405 , 
93,도산2리 정촌,36.72746636 ,126.91968235 , 
94,도산2리 새말,36.72998635 ,126.91814566 , 
95,도산2리 노루목,36.73249305 ,126.91682902 , 
96,신유삼거리,36.73646730 ,126.91748810 , 
97,신유리 버들목,36.74132306 ,126.90847903 , 
99,시전3리 강리,36.74603472 ,126.89832405 , 
100,와산1리,36.76195638 ,126.91763570 , 
101,향산리 용호원,36.75849638 ,126.90745732 , 
102,시전삼거리,36.75555805 ,126.89913734 , 
103,시전삼거리,36.75583474 ,126.89867570 , 
